node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.07	0	0.9	0.492	0.948
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0	0.365	0.9	0.354	0.955
ABL1	MAPK14	9606.ENSP00000361423	9606.ENSP00000229795	0	0	0	0.623	0.061	0.146	0.9	0.384	0.924
ABL1	CCNE1	9606.ENSP00000361423	9606.ENSP00000262643	0	0	0	0	0.058	0.09	0.9	0.271	0.929
ABL1	STAT3	9606.ENSP00000361423	9606.ENSP00000264657	0	0	0	0	0	0.124	0	0.691	0.718
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.061	0.404	0.9	0.229	0.951
ABL1	PXN	9606.ENSP00000361423	9606.ENSP00000267257	0	0	0	0	0.084	0.478	0	0.699	0.844
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0	0.384	0	0.819	0.884
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.379	0.9	0.828	0.988
ABL1	BCL2L1	9606.ENSP00000361423	9606.ENSP00000302564	0	0	0	0	0	0.379	0	0.713	0.814
ABL1	LCK	9606.ENSP00000361423	9606.ENSP00000337825	0	0	0	0.887	0	0	0.9	0.585	0.906
ABL1	CAV1	9606.ENSP00000361423	9606.ENSP00000339191	0	0	0	0	0.065	0.389	0	0.625	0.767
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0.055	0.432	0.8	0.709	0.964
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000344456	0	0	0	0	0.064	0.424	0.9	0.679	0.98
ABL1	E2F1	9606.ENSP00000361423	9606.ENSP00000345571	0	0	0	0	0.069	0.124	0.9	0.224	0.928
ABL1	MCL1	9606.ENSP00000361423	9606.ENSP00000358022	0	0	0	0	0	0	0	0.705	0.705
ABL1	ESR1	9606.ENSP00000361423	9606.ENSP00000405330	0	0	0	0	0	0.164	0	0.657	0.701
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000479618	0	0	0	0	0.073	0.061	0	0.817	0.827
ABL1	RAD50	9606.ENSP00000361423	9606.ENSP00000368100	0	0	0	0	0.055	0.052	0.9	0	0.902
ABL1	PAK4	9606.ENSP00000361423	9606.ENSP00000469413	0	0	0	0.566	0.062	0.901	0	0.19	0.91
ABL1	WWTR1	9606.ENSP00000361423	9606.ENSP00000419465	0	0	0	0	0.062	0.096	0.9	0.164	0.919
ABL1	CCND3	9606.ENSP00000361423	9606.ENSP00000362082	0	0	0	0	0	0	0.9	0.265	0.923
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0	0.882	0.067	0.379	0.9	0.922	0.943
ABL1	CDKN2A	9606.ENSP00000361423	9606.ENSP00000418915	0	0	0	0	0	0.125	0.9	0.58	0.96
ABL1	CDKN1A	9606.ENSP00000361423	9606.ENSP00000384849	0	0	0	0	0	0.336	0.9	0.481	0.962
ABL1	YAP1	9606.ENSP00000361423	9606.ENSP00000478927	0	0	0	0	0.084	0.414	0.9	0.703	0.982
ABL1	RAD51	9606.ENSP00000361423	9606.ENSP00000372088	0	0	0	0	0.05	0.597	0.9	0.715	0.987
ACACA	FASN	9606.ENSP00000483300	9606.ENSP00000304592	0.056	0	0	0	0.686	0	0.9	0.906	0.996
ACACA	PRKAA1	9606.ENSP00000483300	9606.ENSP00000346148	0	0	0	0	0.061	0.461	0.9	0.602	0.977
ACACA	SCD	9606.ENSP00000483300	9606.ENSP00000359380	0	0	0	0	0.226	0	0	0.802	0.84
ACTB	KAT2A	9606.ENSP00000349960	9606.ENSP00000225916	0	0	0	0	0.051	0.162	0.9	0.177	0.925
ACTB	IRF1	9606.ENSP00000349960	9606.ENSP00000245414	0	0	0	0	0	0	0.9	0.3	0.927
ACTB	VASP	9606.ENSP00000349960	9606.ENSP00000245932	0	0	0	0	0.091	0	0.8	0.259	0.853
ACTB	SDHA	9606.ENSP00000349960	9606.ENSP00000264932	0	0	0	0	0.063	0	0	0.715	0.721
ACTB	PXN	9606.ENSP00000349960	9606.ENSP00000267257	0	0	0	0	0.086	0.055	0.8	0.42	0.886
